Smile,Type,HOMO_ev
[N+]1(C)=CN(CCCCCCCCCC)(C=C1),1-methyl-3-alkylimidazolium,-10.454000473022461
[N+]1(C)=CN(CCCCCCCC(C)C)(C=C1),1-methyl-3-alkylimidazolium,-10.527000427246094
[N+]1(C)=CN(CCCCCCC(C)CC)(C=C1),1-methyl-3-alkylimidazolium,-10.666000366210938
[N+]1(C)=CN(CCCCCCC(C)(C)C)(C=C1),1-methyl-3-alkylimidazolium,-10.718000411987305
[N+]1(C)=CN(CCCCCC(C)CCC)(C=C1),1-methyl-3-alkylimidazolium,-10.656999588012695
[N+]1(C)=CN(CCCCCC(C)C(C)C)(C=C1),1-methyl-3-alkylimidazolium,-10.614999771118164
[N+]1(C)=CN(CCCCCC(CC)CC)(C=C1),1-methyl-3-alkylimidazolium,-10.607000350952148
[N+]1(C)=CN(CCCCCC(C)(C)CC)(C=C1),1-methyl-3-alkylimidazolium,-10.64799976348877
[N+]1(C)=CN(CCCCC(C)CCCC)(C=C1),1-methyl-3-alkylimidazolium,-10.793999671936035
[N+]1(C)=CN(CCCCC(C)CC(C)C)(C=C1),1-methyl-3-alkylimidazolium,-10.746999740600586
[N+]1(C)=CN(CCCCC(C)C(C)CC)(C=C1),1-methyl-3-alkylimidazolium,-10.739999771118164
[N+]1(C)=CN(CCCCC(C)C(C)(C)C)(C=C1),1-methyl-3-alkylimidazolium,-10.656999588012695
[N+]1(C)=CN(CCCCC(CC)CCC)(C=C1),1-methyl-3-alkylimidazolium,-10.732999801635742
[N+]1(C)=CN(CCCCC(CC)C(C)C)(C=C1),1-methyl-3-alkylimidazolium,-10.630000114440918
[N+]1(C)=CN(CCCCC(C)(C)CCC)(C=C1),1-methyl-3-alkylimidazolium,-10.817999839782715
[N+]1(C)=CN(CCCCC(C)(C)C(C)C)(C=C1),1-methyl-3-alkylimidazolium,-10.75100040435791
[N+]1(C)=CN(CCCCC(C)(CC)CC)(C=C1),1-methyl-3-alkylimidazolium,-10.822999954223633
[N+]1(C)=CN(CCCC(C)CCCCC)(C=C1),1-methyl-3-alkylimidazolium,-10.729999542236328
[N+]1(C)=CN(CCCC(C)CCC(C)C)(C=C1),1-methyl-3-alkylimidazolium,-10.767999649047852
[N+]1(C)=CN(CCCC(C)CC(C)CC)(C=C1),1-methyl-3-alkylimidazolium,-10.680999755859375
[N+]1(C)=CN(CCCC(C)CC(C)(C)C)(C=C1),1-methyl-3-alkylimidazolium,-10.824000358581543
[N+]1(C)=CN(CCCC(C)C(C)CCC)(C=C1),1-methyl-3-alkylimidazolium,-10.869000434875488
[N+]1(C)=CN(CCCC(C)C(C)C(C)C)(C=C1),1-methyl-3-alkylimidazolium,-10.770999908447266
[N+]1(C)=CN(CCCC(C)C(CC)CC)(C=C1),1-methyl-3-alkylimidazolium,-10.781999588012695
[N+]1(C)=CN(CCCC(C)C(C)(C)CC)(C=C1),1-methyl-3-alkylimidazolium,-10.798999786376953
[N+]1(C)=CN(CCCC(CC)CCCC)(C=C1),1-methyl-3-alkylimidazolium,-10.82800006866455
[N+]1(C)=CN(CCCC(CC)CC(C)C)(C=C1),1-methyl-3-alkylimidazolium,-10.883000373840332
[N+]1(C)=CN(CCCC(CC)C(C)CC)(C=C1),1-methyl-3-alkylimidazolium,-10.76200008392334
[N+]1(C)=CN(CCCC(CC)C(C)(C)C)(C=C1),1-methyl-3-alkylimidazolium,-10.805999755859375
[N+]1(C)=CN(CCCC(CCC)CCC)(C=C1),1-methyl-3-alkylimidazolium,-11.098999977111816
[N+]1(C)=CN(CCCC(C(C)C)CCC)(C=C1),1-methyl-3-alkylimidazolium,-10.979999542236328
[N+]1(C)=CN(CCCC(C(C)C)C(C)C)(C=C1),1-methyl-3-alkylimidazolium,-11.03600025177002
[N+]1(C)=CN(CCCC(C)(C)CCCC)(C=C1),1-methyl-3-alkylimidazolium,-10.967000007629395
[N+]1(C)=CN(CCCC(C)(C)CC(C)C)(C=C1),1-methyl-3-alkylimidazolium,-10.904999732971191
[N+]1(C)=CN(CCCC(C)(C)C(C)CC)(C=C1),1-methyl-3-alkylimidazolium,-10.873000144958496
[N+]1(C)=CN(CCCC(C)(C)C(C)(C)C)(C=C1),1-methyl-3-alkylimidazolium,-10.904999732971191
[N+]1(C)=CN(CCCC(C)(CC)CCC)(C=C1),1-methyl-3-alkylimidazolium,-10.991999626159668
[N+]1(C)=CN(CCCC(C)(CC)C(C)C)(C=C1),1-methyl-3-alkylimidazolium,-10.847000122070312
