Smile,Type,LUMO_ev
[N+]1(C)=CN(CCCCCCCC)(C=C1),1-methyl-3-alkylimidazolium,-5.019999980926514
[N+]1(C)=CN(CCCCCC(C)C)(C=C1),1-methyl-3-alkylimidazolium,-5.03000020980835
[N+]1(C)=CN(CCCCC(C)CC)(C=C1),1-methyl-3-alkylimidazolium,-5.039999961853027
[N+]1(C)=CN(CCCCC(C)(C)C)(C=C1),1-methyl-3-alkylimidazolium,-5.011000156402588
[N+]1(C)=CN(CCCC(C)CCC)(C=C1),1-methyl-3-alkylimidazolium,-5.0289998054504395
[N+]1(C)=CN(CCCC(C)C(C)C)(C=C1),1-methyl-3-alkylimidazolium,-5.026000022888184
[N+]1(C)=CN(CCCC(CC)CC)(C=C1),1-methyl-3-alkylimidazolium,-5.019000053405762
[N+]1(C)=CN(CCCC(C)(C)CC)(C=C1),1-methyl-3-alkylimidazolium,-5.01200008392334
[N+]1(C)=CN(CCC(C)CCCC)(C=C1),1-methyl-3-alkylimidazolium,-5.013000011444092
[N+]1(C)=CN(CCC(C)CC(C)C)(C=C1),1-methyl-3-alkylimidazolium,-5.010000228881836
[N+]1(C)=CN(CCC(C)C(C)CC)(C=C1),1-methyl-3-alkylimidazolium,-4.99399995803833
[N+]1(C)=CN(CCC(C)C(C)(C)C)(C=C1),1-methyl-3-alkylimidazolium,-4.991000175476074
[N+]1(C)=CN(CCC(CC)CCC)(C=C1),1-methyl-3-alkylimidazolium,-4.998000144958496
[N+]1(C)=CN(CCC(CC)C(C)C)(C=C1),1-methyl-3-alkylimidazolium,-5.019999980926514
[N+]1(C)=CN(CCC(C)(C)CCC)(C=C1),1-methyl-3-alkylimidazolium,-4.985000133514404
[N+]1(C)=CN(CCC(C)(C)C(C)C)(C=C1),1-methyl-3-alkylimidazolium,-4.98199987411499
[N+]1(C)=CN(CCC(C)(CC)CC)(C=C1),1-methyl-3-alkylimidazolium,-4.978000164031982
[N+]1(C)=CN(CC(C)CCCCC)(C=C1),1-methyl-3-alkylimidazolium,-5.038000106811523
[N+]1(C)=CN(CC(C)CCC(C)C)(C=C1),1-methyl-3-alkylimidazolium,-5.0320000648498535
[N+]1(C)=CN(CC(C)CC(C)CC)(C=C1),1-methyl-3-alkylimidazolium,-5.015999794006348
[N+]1(C)=CN(CC(C)CC(C)(C)C)(C=C1),1-methyl-3-alkylimidazolium,-5.061999797821045
[N+]1(C)=CN(CC(C)C(C)CCC)(C=C1),1-methyl-3-alkylimidazolium,-4.940999984741211
[N+]1(C)=CN(CC(C)C(C)C(C)C)(C=C1),1-methyl-3-alkylimidazolium,-4.941999912261963
[N+]1(C)=CN(CC(C)C(CC)CC)(C=C1),1-methyl-3-alkylimidazolium,-4.934000015258789
[N+]1(C)=CN(CC(C)C(C)(C)CC)(C=C1),1-methyl-3-alkylimidazolium,-4.947000026702881
[N+]1(C)=CN(CC(CC)CCCC)(C=C1),1-methyl-3-alkylimidazolium,-4.946000099182129
[N+]1(C)=CN(CC(CC)CC(C)C)(C=C1),1-methyl-3-alkylimidazolium,-4.952000141143799
[N+]1(C)=CN(CC(CC)C(C)CC)(C=C1),1-methyl-3-alkylimidazolium,-4.940999984741211
[N+]1(C)=CN(CC(CC)C(C)(C)C)(C=C1),1-methyl-3-alkylimidazolium,-4.928999900817871
[N+]1(C)=CN(CC(CCC)CCC)(C=C1),1-methyl-3-alkylimidazolium,-4.933000087738037
[N+]1(C)=CN(CC(C(C)C)CCC)(C=C1),1-methyl-3-alkylimidazolium,-4.945000171661377
[N+]1(C)=CN(CC(C(C)C)C(C)C)(C=C1),1-methyl-3-alkylimidazolium,-4.928999900817871
[N+]1(C)=CN(CC(C)(C)CCCC)(C=C1),1-methyl-3-alkylimidazolium,-4.960000038146973
[N+]1(C)=CN(CC(C)(C)CC(C)C)(C=C1),1-methyl-3-alkylimidazolium,-4.9710001945495605
[N+]1(C)=CN(CC(C)(C)C(C)CC)(C=C1),1-methyl-3-alkylimidazolium,-4.926000118255615
[N+]1(C)=CN(CC(C)(C)C(C)(C)C)(C=C1),1-methyl-3-alkylimidazolium,-4.929999828338623
