Isomer,Smile,Energy,HOMO(H),LUMO(H)
Isomer0,[N+]1(CCCC)=CN(CCCCCCC)(C=C1),-658.702499378,-0.41268,-0.18299
Isomer100,[N+]1(CCCC)=CN(C(CC)CCCC)(C=C1),-658.710498551,-0.43178,-0.17841
Isomer101,[N+]1(CC(C)C)=CN(C(CC)CCCC)(C=C1),-658.714453082,-0.43276,-0.17516
Isomer102,[N+]1(C(C)CC)=CN(C(CC)CCCC)(C=C1),-658.716001128,-0.42989,-0.17435
Isomer103,[N+]1(C(C)(C)C)=CN(C(CC)CCCC)(C=C1),-658.719585416,-0.42886,-0.16972
Isomer104,[N+]1(CCCC)=CN(C(CC)CC(C)C)(C=C1),-658.714271936,-0.43316,-0.17505
Isomer105,[N+]1(CC(C)C)=CN(C(CC)CC(C)C)(C=C1),-658.717050279,-0.43272,-0.17482
Isomer106,[N+]1(C(C)CC)=CN(C(CC)CC(C)C)(C=C1),-658.718865503,-0.42978,-0.17415
Isomer107,[N+]1(C(C)(C)C)=CN(C(CC)CC(C)C)(C=C1),-658.722193275,-0.42879,-0.16949
Isomer108,[N+]1(CCCC)=CN(C(CC)C(C)CC)(C=C1),-658.705647798,-0.43125,-0.17012
Isomer109,[N+]1(CC(C)C)=CN(C(CC)C(C)CC)(C=C1),-658.708125642,-0.42985,-0.17342
Isomer10,[N+]1(C(C)CC)=CN(CCCC(C)CC)(C=C1),-658.70964009,-0.42422,-0.17907
Isomer110,[N+]1(C(C)CC)=CN(C(CC)C(C)CC)(C=C1),-658.710228145,-0.42753,-0.16912
Isomer111,[N+]1(C(C)(C)C)=CN(C(CC)C(C)CC)(C=C1),-658.713972199,-0.42819,-0.16535
Isomer112,[N+]1(CCCC)=CN(C(CC)C(C)(C)C)(C=C1),-658.715524789,-0.43187,-0.17216
Isomer113,[N+]1(CC(C)C)=CN(C(CC)C(C)(C)C)(C=C1),-658.718103068,-0.42999,-0.17267
Isomer114,[N+]1(C(C)CC)=CN(C(CC)C(C)(C)C)(C=C1),-658.720417907,-0.42859,-0.17067
Isomer115,[N+]1(C(C)(C)C)=CN(C(CC)C(C)(C)C)(C=C1),-658.723595162,-0.4281,-0.1665
Isomer116,[N+]1(CCCC)=CN(C(CCC)CCC)(C=C1),-658.710223884,-0.43249,-0.17389
Isomer117,[N+]1(CC(C)C)=CN(C(CCC)CCC)(C=C1),-658.713009686,-0.43201,-0.17352
Isomer118,[N+]1(C(C)CC)=CN(C(CCC)CCC)(C=C1),-658.71421592,-0.42921,-0.17263
Isomer119,[N+]1(C(C)(C)C)=CN(C(CCC)CCC)(C=C1),-658.718219401,-0.42831,-0.16813
Isomer11,[N+]1(C(C)(C)C)=CN(CCCC(C)CC)(C=C1),-658.713846002,-0.42112,-0.17427
Isomer120,[N+]1(CCCC)=CN(C(C(C)C)CCC)(C=C1),-658.713181353,-0.43262,-0.17474
Isomer121,[N+]1(CC(C)C)=CN(C(C(C)C)CCC)(C=C1),-658.715880175,-0.43214,-0.17441
Isomer122,[N+]1(C(C)CC)=CN(C(C(C)C)CCC)(C=C1),-658.71774488,-0.42918,-0.17358
Isomer123,[N+]1(C(C)(C)C)=CN(C(C(C)C)CCC)(C=C1),-658.721054463,-0.42831,-0.16902
Isomer124,[N+]1(CCCC)=CN(C(C(C)C)C(C)C)(C=C1),-658.714287599,-0.43011,-0.17535
Isomer125,[N+]1(CC(C)C)=CN(C(C(C)C)C(C)C)(C=C1),-658.717294958,-0.42928,-0.17292
Isomer126,[N+]1(C(C)CC)=CN(C(C(C)C)C(C)C)(C=C1),-658.719841999,-0.42797,-0.17105
Isomer127,[N+]1(C(C)(C)C)=CN(C(C(C)C)C(C)C)(C=C1),-658.722579911,-0.42758,-0.16703
Isomer128,[N+]1(CCCC)=CN(C(C)(C)CCCC)(C=C1),-658.712089606,-0.43008,-0.17265
Isomer129,[N+]1(CC(C)C)=CN(C(C)(C)CCCC)(C=C1),-658.714869403,-0.4299,-0.17261
Isomer12,[N+]1(CCCC)=CN(CCCC(C)(C)C)(C=C1),-658.706739753,-0.42934,-0.17844
Isomer130,[N+]1(C(C)CC)=CN(C(C)(C)CCCC)(C=C1),-658.717642752,-0.42803,-0.16887
Isomer131,[N+]1(C(C)(C)C)=CN(C(C)(C)CCCC)(C=C1),-658.721425146,-0.42727,-0.16485
Isomer132,[N+]1(CCCC)=CN(C(C)(C)CC(C)C)(C=C1),-658.710597671,-0.42942,-0.17344
Isomer133,[N+]1(CC(C)C)=CN(C(C)(C)CC(C)C)(C=C1),-658.713909663,-0.42792,-0.17102
Isomer134,[N+]1(C(C)CC)=CN(C(C)(C)CC(C)C)(C=C1),-658.716130256,-0.42776,-0.16856
Isomer136,[N+]1(CCCC)=CN(C(C)(C)C(C)CC)(C=C1),-658.713934162,-0.42999,-0.17262
Isomer137,[N+]1(CC(C)C)=CN(C(C)(C)C(C)CC)(C=C1),-658.71679714,-0.42965,-0.17198
