Smiles,BalabanJ,BertzCT,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA2,EState_VSA3,EState_VSA4,FractionCSP3,Ipc,Kappa2,Kappa3,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MinAbsEStateIndex,MinAbsPartialCharge,MinPartialCharge,NumRotatableBonds,PEOE_VSA10,PEOE_VSA7,PEOE_VSA8,SlogP_VSA3,SlogP_VSA4,VSA_EState4,VSA_EState6,VSA_EState7,VSA_EState9,fr_aryl_methyl,fr_unbrch_alkane,LUMO_eV
[N+]1(C)=CN(C)(C=C1),3.042002767,138.368693,0.901215098,0.901215098,0.57458681,0.57458681,0,0,0,0.4,46.67048278,1.369984333,0.796455423,2,0.242805372,2,2,0.239541307,-0.239541307,0,12.39368714,0,0,14.09534397,0,0,0,6,4,2,0,-5.27356932
[N+]1(C)=CN(CC)(C=C1),2.837541431,166.7913934,1.188881131,1.188881131,0.688772899,0.688772899,0,0,6.544756406,0.5,92.21698662,1.987228406,0.885830095,2.125,0.243018699,2.125,1.056388889,0.239534146,-0.239534146,1,12.39368714,6.9237372,0,13.59242839,0,0,0,6.142361111,2.02,2,0,-5.153022818
[N+]1(CC)=CN(CC)(C=C1),2.740568234,160.2967608,1.476547163,1.476547163,0.812864752,0.812864752,0,0,13.08951281,0.571428571,173.1832348,2.667270004,1.312742009,2.15625,0.243232025,2.15625,1.0625,0.237119269,-0.237119269,2,12.39368714,13.8474744,0,13.08951281,0,0,0,6.284722222,0,2,0,-5.034653228
[N+]1(CCC)=CN(C)(C=C1),2.613882432,178.7967608,1.305538446,1.305538446,0.892183501,0.892183501,0,0,6.544756406,0.571428571,147.2798185,2.667270004,1.557397546,2.180555556,0.243028653,2.180555556,1.125833333,0.239533997,-0.239533997,2,12.39368714,6.420821623,0,13.59242839,0,0,0,7.427916667,2.033888889,2,0,-5.173975596
[N+]1(C(C)C)=CN(C)(C=C1),2.845602313,188.5511502,1.385691603,1.385691603,0.774896052,0.774896052,0,6.041840829,0,0.571428571,130.4959298,2.212622069,1.312742009,2.166666667,0.243232333,2.166666667,0.575185185,0.239526949,-0.239526949,1,12.39368714,13.8474744,0,7.047671983,0,0,0.575185185,6.189814815,2.026666667,1,0,-5.0613204
[N+]1(CCC)=CN(CCC)(C=C1),2.508934805,182.5825794,1.709861795,1.709861795,1.219685957,1.219685957,0,0,13.08951281,0.666666667,441.0772422,4.164037352,2.371057051,2.231805556,0.243251933,2.231805556,1.135629252,0.236845091,-0.236845091,4,12.39368714,12.84164325,0,13.08951281,0,0,0,8.867986111,0,2,0,-5.014244678
[N+]1(C(C)C)=CN(CCC)(C=C1),2.655360386,213.0922389,1.790014951,1.790014951,1.106786924,1.106786924,0,6.041840829,6.544756406,0.666666667,392.768188,3.557462323,2.069530025,2.222222222,0.243455612,2.222222222,0.576950113,0.236838043,-0.236838043,3,12.39368714,20.26829602,0,6.544756406,0,0,0.576950113,7.615841837,0,1,0,-4.93750853
[N+]1(C(C)C)=CN(C(C)C)(C=C1),2.81741328,200.7215343,1.870168108,1.870168108,0.995832032,0.995832032,0,12.08368166,0,0.666666667,346.7113537,3.074381716,1.822066108,2.208333333,0.24365929,2.208333333,0.564814815,0.234711154,-0.234711154,2,12.39368714,27.6949488,0,0,0,0,1.12962963,6.37962963,0,0,0,-4.840091718
[N+]1(CCCC)=CN(C)(C=C1),2.422977778,190.8925906,1.593598922,1.593598922,0.97467268,0.97467268,0,0,6.544756406,0.625,256.7231081,3.396271974,1.865035648,2.211805556,0.243028824,2.211805556,1.150138889,0.239533996,-0.239533996,3,12.39368714,6.420821623,0,13.59242839,0,0,0,8.817018141,2.044092971,2,0,-5.145947854
[N+]1(CC(C)C)=CN(C)(C=C1),2.582563697,200.7774375,1.399699641,1.399699641,1.031349521,1.031349521,0,0,12.46266245,0.625,198.2363234,2.862742982,1.865035648,2.222222222,0.243038676,2.222222222,0.729074074,0.239533847,-0.239533847,2,12.39368714,5.917906046,0,13.59242839,5.917906046,0,0,6.252361111,2.038518519,1,0,-5.135607522
[N+]1(C(C)CC)=CN(C)(C=C1),2.741183389,202.7774375,1.889190193,1.889190193,0.940980114,0.940980114,0,6.041840829,0,0.625,243.2611839,2.862742982,1.376988487,2.222222222,0.243242318,2.222222222,0.626111111,0.2395268,-0.2395268,2,12.39368714,13.34455882,0,7.047671983,0,0,0.626111111,7.461481481,2.040555556,1,0,-5.041456078
