Smiles,HOMO_eV,LUMO_eV
[N+]1(C)=CN(C)(C=C1),-12.402684006,-5.27356932
[N+]1(C)=CN(CC)(C=C1),-12.278055794,-5.153022818
[N+]1(CC)=CN(CC)(C=C1),-12.159686204,-5.034653228
[N+]1(CCC)=CN(C)(C=C1),-12.17846207,-5.173975596
[N+]1(C(C)C)=CN(C)(C=C1),-12.131930576,-5.0613204000000005
[N+]1(CCC)=CN(CCC)(C=C1),-12.01791481,-5.014244678
[N+]1(C(C)C)=CN(CCC)(C=C1),-11.950430538,-4.937508530000001
[N+]1(C(C)C)=CN(C(C)C)(C=C1),-11.883490494,-4.840091718
[N+]1(CCCC)=CN(C)(C=C1),-12.143631478,-5.145947854
[N+]1(CC(C)C)=CN(C)(C=C1),-12.132746918,-5.135607522000001
[N+]1(C(C)CC)=CN(C)(C=C1),-12.076147206000002,-5.0414560779999995
[N+]1(C(C)(C)C)=CN(C)(C=C1),-12.06009248,-4.904582736000001
[N+]1(CCCC)=CN(CCCC)(C=C1),-11.904443272,-5.01370045
[N+]1(CC(C)C)=CN(CCCC)(C=C1),-11.936008496,-4.941590240000001
[N+]1(C(C)CC)=CN(CCCC)(C=C1),-11.850836814,-4.916283638
[N+]1(C(C)(C)C)=CN(CCCC)(C=C1),-11.824441756,-4.79056697
[N+]1(CC(C)C)=CN(CC(C)C)(C=C1),-11.866619426,-4.945944064000001
[N+]1(C(C)CC)=CN(CC(C)C)(C=C1),-11.86961268,-4.8289350440000005
[N+]1(C(C)(C)C)=CN(CC(C)C)(C=C1),-11.815734108000001,-4.77968241
[N+]1(C(C)CC)=CN(C(C)CC)(C=C1),-11.79342076,-4.805261126
[N+]1(C(C)(C)C)=CN(C(C)CC)(C=C1),-11.765665132,-4.679272344
[N+]1(C(C)(C)C)=CN(C(C)(C)C)(C=C1),-11.753147888,-4.554644132
[N+]1(CCCCC)=CN(C)(C=C1),-12.050840604,-5.118736454
[N+]1(CCC(C)C)=CN(C)(C=C1),-12.114787394,-5.118192226000001
[N+]1(CC(C)CC)=CN(C)(C=C1),-12.065262646,-5.0964231060000005
[N+]1(CC(C)(C)C)=CN(C)(C=C1),-12.071521268000001,-5.033564772
[N+]1(C(C)CCC)=CN(C)(C=C1),-12.042405070000001,-5.009074512
[N+]1(C(C)C(C)C)=CN(C)(C=C1),-12.02879937,-4.997645724
[N+]1(C(CC)CC)=CN(C)(C=C1),-12.035057992,-5.019414844000001
[N+]1(C(C)(C)CC)=CN(C)(C=C1),-11.946620942,-4.942134468
[N+]1(CCCCC)=CN(CC)(C=C1),-11.963219896,-5.000638978
[N+]1(CCC(C)C)=CN(CC)(C=C1),-11.994785120000001,-4.991659216
[N+]1(CC(C)CC)=CN(CC)(C=C1),-11.965668922,-4.982679454
[N+]1(CC(C)(C)C)=CN(CC)(C=C1),-11.961859326,-4.930433566
[N+]1(C(C)CCC)=CN(CC)(C=C1),-11.934647926,-4.890704922
[N+]1(C(C)C(C)C)=CN(CC)(C=C1),-11.919681656,-4.877371336
[N+]1(C(CC)CC)=CN(CC)(C=C1),-11.928389304000001,-4.905126964
[N+]1(C(C)(C)CC)=CN(CC)(C=C1),-11.842129166000001,-4.824581220000001
[N+]1(CCCCC)=CN(CCCC)(C=C1),-11.854102182,-4.984856366
[N+]1(CC(C)CC)=CN(CC(C)C)(C=C1),-11.871789592,-4.901045254
[N+]1(CC(C)(C)C)=CN(CC(C)C)(C=C1),-11.82743501,-4.916283638
[N+]1(C(C)CCC)=CN(CC(C)C)(C=C1),-11.837775342,-4.7981861619999995
[N+]1(C(C)C(C)C)=CN(CC(C)C)(C=C1),-11.768386271999999,-4.803628442
[N+]1(C(CC)CC)=CN(CC(C)C)(C=C1),-11.838047456,-4.8123360900000005
[N+]1(C(C)(C)CC)=CN(CC(C)C)(C=C1),-11.774917008000001,-4.749477756
[N+]1(CCCCC)=CN(C(C)CC)(C=C1),-11.819271590000001,-4.8991404560000005
[N+]1(CCC(C)C)=CN(C(C)CC)(C=C1),-11.82607444,-4.89397029
[N+]1(CC(C)CC)=CN(C(C)CC)(C=C1),-11.793692874000001,-4.8749223100000005
[N+]1(CC(C)(C)C)=CN(C(C)CC)(C=C1),-11.77437278,-4.8161456860000005
[N+]1(CCC(C)C)=CN(CCCC)(C=C1),-11.885667406000001,-4.9911149880000005
[N+]1(C(C)CCC)=CN(C(C)CC)(C=C1),-11.756413256,-4.775056472
[N+]1(C(C)C(C)C)=CN(C(C)CC)(C=C1),-11.750154634000001,-4.762811342
[N+]1(C(CC)CC)=CN(C(C)CC)(C=C1),-11.753420002,-4.790294856
[N+]1(C(C)(C)CC)=CN(C(C)CC)(C=C1),-11.668520434000001,-4.710021226
[N+]1(CCCCC)=CN(C(C)(C)C)(C=C1),-11.780359288000001,-4.765260368
